// Database Design Final Exam - CSCI 5603
// 50 Multiple Choice Questions covering Lectures 1-10
// Save as CSV UTF-8 encoded

Option,100,All of the above,,Correct! Theta joins use any comparison; Equijoins use equality; Natural joins auto-match on common attributes.
Hint,Think about the different ways to specify join conditions - equality any comparison or automatic matching.,,
Feedback,Theta Join (θ) = any comparison condition. Equijoin = theta join using only equality (=). Natural Join = equijoin that auto-matches common attribute names and removes duplicates.,,

NewQuestion,MC,,,
ID,CSCI5603-010,,,
Title,SELECT Statement Order,,,
QuestionText,What is the correct order of clauses in a SELECT statement?,,,
Points,2,,,
Difficulty,2,,,
Option,0,SELECT WHERE FROM GROUP BY HAVING ORDER BY,,FROM must come before WHERE.
Option,100,SELECT FROM WHERE GROUP BY HAVING ORDER BY,,Correct! This is the proper order: S-F-W-G-H-O.
Option,0,FROM SELECT WHERE GROUP BY ORDER BY HAVING,,HAVING must come after GROUP BY not after ORDER BY.
Option,0,SELECT FROM GROUP BY WHERE HAVING ORDER BY,,WHERE must come before GROUP BY to filter rows first.
Hint,Memory trick: Some Frogs Will Get Hungry Often.,,
Feedback,Correct order: SELECT (columns) FROM (table) WHERE (row filter) GROUP BY (grouping) HAVING (group filter) ORDER BY (sorting). WHERE filters rows; HAVING filters groups!,,

NewQuestion,MC,,,
ID,CSCI5603-011,,,
Title,Aggregate Function Count,,,
QuestionText,Which aggregate function would you use to find the total number of rentals in the Rentals table?,,,
Points,2,,,
Difficulty,2,,,
Option,0,SUM(rental_id),,SUM adds up values not counts rows. This would sum the IDs which is meaningless.
Option,100,COUNT(*),,Correct! COUNT(*) counts all rows including those with NULL values.
Option,0,AVG(rental_id),,AVG calculates average not count. This would average the IDs which is meaningless.
Option,0,MAX(rental_id),,MAX finds the maximum value not the count of rows.
Hint,You want to know HOW MANY rentals exist - which function COUNTS?,,
Feedback,COUNT(*) = counts all rows. COUNT(column) = counts non-NULL values in that column. SUM = adds values. AVG = calculates average. MIN/MAX = finds minimum/maximum.,,

NewQuestion,MC,,,
ID,CSCI5603-012,,,
Title,LIKE Wildcard,,,
QuestionText,What wildcard character is used with the LIKE operator to match any sequence of characters?,,,
Points,2,,,
Difficulty,2,,,
Option,0,? (question mark),,The question mark is not a SQL wildcard character.
Option,0,* (asterisk),,Asterisk is used in file systems but not in SQL LIKE patterns.
Option,100,% (percent sign),,Correct! The percent sign matches zero or more characters in SQL.
Option,0,# (hash),,The hash symbol is not a SQL wildcard character.
Hint,This character can match nothing or everything - from zero to infinite characters.,,
Feedback,SQL wildcards: % (percent) = matches zero or more characters. _ (underscore) = matches exactly ONE character. Example: 'The%' finds titles starting with The.,,

NewQuestion,MC,,,
ID,CSCI5603-013,,,
Title,INNER vs LEFT JOIN,,,
QuestionText,What is the difference between INNER JOIN and LEFT OUTER JOIN?,,,
Points,2,,,
Difficulty,3,,,
Option,0,No difference they are the same,,These joins produce different result sets.
Option,100,LEFT JOIN includes unmatched rows from the left table,,Correct! LEFT JOIN returns all left table rows plus matching right table rows (NULLs for non-matches).
Option,0,INNER JOIN is faster,,Performance depends on data and indexes not the join type.
Option,0,LEFT JOIN only works with two tables,,LEFT JOIN can be used with multiple tables just like INNER JOIN.
Hint,Think about what happens to members who have never rented a movie in Members LEFT JOIN Rentals.,,
Feedback,INNER JOIN = only matching rows. LEFT JOIN = all left rows + matches. RIGHT JOIN = all right rows + matches. FULL JOIN = all rows from both tables.,,

NewQuestion,MC,,,
ID,CSCI5603-014,,,
Title,EXISTS Operator,,,
QuestionText,What does the EXISTS operator do in a subquery?,,,
Points,2,,,
Difficulty,3,,,
Option,0,Returns all rows from the subquery,,EXISTS doesn't return rows; it returns TRUE or FALSE.
Option,100,Checks if the subquery returns any rows,,Correct! EXISTS returns TRUE if the subquery returns at least one row; FALSE otherwise.
Option,0,Counts rows in the subquery,,COUNT counts rows; EXISTS only checks if any exist.
Option,0,Joins tables together,,JOIN combines tables; EXISTS tests for existence.
Hint,EXISTS returns a boolean value - it asks 'does this query find anything?',,
Feedback,EXISTS = TRUE if subquery returns ≥1 row. NOT EXISTS = TRUE if subquery returns 0 rows. More efficient than COUNT(*) > 0 because it stops after finding one row!,,

NewQuestion,MC,,,
ID,CSCI5603-015,,,
Title,UNION vs UNION ALL,,,
QuestionText,Which set operation removes duplicate rows when combining results from two queries?,,,
Points,2,,,
Difficulty,2,,,
Option,0,UNION ALL,,UNION ALL keeps all duplicates for better performance.
Option,100,UNION,,Correct! UNION combines results and automatically removes duplicate rows.
Option,0,INTERSECT,,INTERSECT returns only rows appearing in BOTH queries not combining them.
Option,0,EXCEPT,,EXCEPT returns rows in the first query but not in the second.
Hint,The plain version removes duplicates; the ALL version keeps them.,,
Feedback,UNION = combines and removes duplicates. UNION ALL = combines and keeps duplicates (faster). INTERSECT = only common rows. EXCEPT/MINUS = rows in first but not second.,,

NewQuestion,MC,,,
ID,CSCI5603-016,,,
Title,Index Purpose,,,
QuestionText,What database object is used to speed up query performance by providing fast data lookup?,,,
Points,2,,,
Difficulty,2,,,
Option,0,View,,Views simplify queries but don't improve performance themselves.
Option,100,Index,,Correct! Indexes provide fast lookups like a book index making SELECT queries faster.
Option,0,Trigger,,Triggers automatically execute code in response to events; they don't speed up queries.
Option,0,Stored Procedure,,Stored procedures are precompiled code but don't directly speed up individual queries.
Hint,Think of a book - what helps you quickly find information without reading every page?,,
Feedback,Indexes improve SELECT performance but slow down INSERT/UPDATE/DELETE because the index must be maintained. Use EXPLAIN ANALYZE to measure performance impact!,,

NewQuestion,MC,,,
ID,CSCI5603-017,,,
Title,View Definition,,,
QuestionText,What is a database VIEW?,,,
Points,2,,,
Difficulty,2,,,
Option,0,A physical table stored on disk,,Views don't physically store data; they're virtual.
Option,100,A virtual table based on a stored query,,Correct! Views dynamically show query results without storing the data.
Option,0,A backup of the database,,Backups are separate from views.
Option,0,A user's permission level,,Permissions are different from views though views can help implement security.
Hint,Think VIRTUAL - the data appears as a table but is generated on-demand from the underlying query.,,
Feedback,Views are virtual tables that store the query definition not the data. Benefits: simplify complex queries; provide security by hiding columns; maintain logical data independence.,,

NewQuestion,MC,,,
ID,CSCI5603-018,,,
Title,ON DELETE CASCADE,,,
QuestionText,What happens when you delete a parent row that has child rows with ON DELETE CASCADE?,,,
Points,2,,,
Difficulty,3,,,
Option,0,The delete is rejected with an error,,This happens with RESTRICT not CASCADE.
Option,0,Only the parent row is deleted,,The child rows would become orphaned; CASCADE prevents this.
Option,100,Both parent and child rows are deleted,,Correct! CASCADE automatically deletes dependent child rows.
Option,0,Child rows are set to NULL,,This happens with ON DELETE SET NULL not CASCADE.
Hint,CASCADE means the delete 'cascades' down to related records.,,
Feedback,ON DELETE CASCADE = delete children too. ON DELETE SET NULL = set foreign key to NULL. ON DELETE RESTRICT = prevent deletion if children exist. ON UPDATE CASCADE = update foreign keys when parent changes.,,

NewQuestion,MC,,,
ID,CSCI5603-019,,,
Title,Trigger Definition,,,
QuestionText,What is a database TRIGGER?,,,
Points,2,,,
Difficulty,2,,,
Option,0,A query optimization tool,,Triggers don't optimize queries; they execute code in response to events.
Option,100,Procedure that automatically executes in response to events,,Correct! Triggers fire automatically on INSERT UPDATE or DELETE events.
Option,0,A type of constraint,,Constraints are different; triggers contain procedural code.
Option,0,A backup mechanism,,Backups are separate from triggers.
Hint,Think about what 'pulls the trigger' - certain database events automatically cause this to fire.,,
Feedback,Triggers automatically execute on INSERT UPDATE or DELETE events. Uses: audit logging; enforcing business rules; maintaining derived data. Caution: they add overhead and complexity!,,

NewQuestion,MC,,,
ID,CSCI5603-020,,,
Title,Data Independence Types,,,
QuestionText,Which type of data independence allows you to change physical storage without affecting the logical schema?,,,
Points,2,,,
Difficulty,3,,,
Option,0,Logical data independence,,Logical independence relates to changing the conceptual schema not physical storage.
Option,100,Physical data independence,,Correct! Physical independence means internal/physical changes don't affect the conceptual level.
Option,0,External data independence,,This is not a standard term in ANSI-SPARC architecture.
Option,0,Conceptual data independence,,This is not a standard term in ANSI-SPARC architecture.
Hint,Think about adding an index - that's a PHYSICAL change. Does it require changing your application code?,,
Feedback,Physical Data Independence = internal changes don't affect conceptual schema. Logical Data Independence = conceptual changes don't affect external views. Goal: separation of concerns!,,

NewQuestion,MC,,,
ID,CSCI5603-021,,,
Title,Function vs Procedure Difference,,,
QuestionText,What is a key difference between a stored procedure and a user-defined function?,,,
Points,2,,,
Difficulty,4,,,
Option,0,Functions are faster than procedures,,Performance depends on implementation not the type.
Option,100,Functions must return a value; procedures may not,,Correct! Functions MUST return something; procedures are optional.
Option,0,Procedures can take parameters; functions cannot,,Both can take parameters.
Option,0,Functions are written in SQL; procedures in other languages,,Both can be written in SQL or other languages depending on the DBMS.
Hint,Think about the word FUNCTION - in math a function always returns a result.,,
Feedback,Functions MUST return a value and can be used in SELECT statements. Procedures may not return values and are called with CALL/EXECUTE. Functions should be pure (no side effects); procedures can modify data.,,

NewQuestion,MC,,,
ID,CSCI5603-022,,,
Title,Superkey vs Candidate Key,,,
QuestionText,What is the difference between a superkey and a candidate key?,,,
Points,2,,,
Difficulty,4,,,
Option,0,Superkeys are always larger than candidate keys,,Size doesn't define the difference.
Option,100,A candidate key is a minimal superkey with no unnecessary attributes,,Correct! Candidate keys have no redundant attributes.
Option,0,Superkeys uniquely identify tuples; candidate keys do not,,Both uniquely identify tuples.
Option,0,There is no difference; they are the same,,They are related but different concepts.
Hint,A candidate key is 'minimal' - it can't lose any attributes and still be unique.,,
Feedback,Superkey = any attribute set that uniquely identifies tuples. Candidate Key = minimal superkey (remove any attribute and it's no longer unique). Primary Key = chosen candidate key.,,

NewQuestion,MC,,,
ID,CSCI5603-023,,,
Title,Referential Integrity,,,
QuestionText,What does referential integrity ensure in a database?,,,
Points,2,,,
Difficulty,3,,,
Option,100,Foreign key values must match existing primary key values or be NULL,,Correct! Referential integrity prevents orphaned records.
Option,0,All primary keys must be integers,,Primary keys can be any data type not just integers.
Option,0,Every table must have exactly one foreign key,,Tables can have zero one or many foreign keys.
Option,0,Primary keys cannot be NULL,,This describes entity integrity not referential integrity.
Hint,Think about the REFERENCE - the foreign key must point to something that exists.,,
Feedback,Referential Integrity = foreign keys must reference existing primary keys or be NULL. Entity Integrity = primary keys cannot be NULL. Domain Integrity = values must be in valid domains.,,

NewQuestion,MC,,,
ID,CSCI5603-024,,,
Title,GROUP BY Purpose,,,
QuestionText,What is the purpose of the GROUP BY clause in SQL?,,,
Points,2,,,
Difficulty,3,,,
Option,100,Groups rows with the same values so aggregate functions can be applied to each group,,Correct! GROUP BY creates groups for aggregate calculations.
Option,0,Sorts the result set in ascending order,,ORDER BY sorts; GROUP BY groups.
Option,0,Filters rows before they are selected,,WHERE filters rows; GROUP BY groups them.
Option,0,Joins multiple tables together,,JOIN combines tables; GROUP BY groups rows.
Hint,Think about calculating COUNT or SUM for each category - you need to GROUP BY that category.,,
Feedback,GROUP BY groups rows with the same values in specified columns. Use with aggregate functions (COUNT SUM AVG MIN MAX). WHERE filters rows before grouping; HAVING filters groups after.,,

NewQuestion,MC,,,
ID,CSCI5603-025,,,
Title,HAVING vs WHERE,,,
QuestionText,What is the main difference between WHERE and HAVING clauses?,,,
Points,2,,,
Difficulty,3,,,
Option,100,WHERE filters rows before grouping; HAVING filters groups after grouping,,Correct! WHERE operates on rows; HAVING operates on groups.
Option,0,WHERE is faster than HAVING,,Performance depends on the query not which clause is used.
Option,0,HAVING can only be used with GROUP BY; WHERE works anywhere,,While HAVING typically appears with GROUP BY that's not the key difference.
Option,0,WHERE uses aggregate functions; HAVING does not,,It's the opposite - HAVING can use aggregates; WHERE cannot.
Hint,Think about the execution order: rows are filtered then grouped then groups are filtered.,,
Feedback,WHERE filters individual rows BEFORE grouping. HAVING filters groups AFTER grouping. HAVING can use aggregate functions (COUNT SUM etc); WHERE cannot.,,

NewQuestion,MC,,,
ID,CSCI5603-026,,,
Title,NULL Handling,,,
QuestionText,How does COUNT(column_name) differ from COUNT(*) when dealing with NULL values?,,,
Points,2,,,
Difficulty,3,,,
Option,100,COUNT(column_name) excludes NULLs; COUNT(*) includes them,,Correct! COUNT(*) counts all rows regardless of NULL values.
Option,0,COUNT(column_name) includes NULLs; COUNT(*) excludes them,,This is backwards.
Option,0,Both treat NULL values the same way,,They treat NULLs differently.
Option,0,Neither can handle NULL values,,Both can handle NULLs but differently.
Hint,COUNT(*) counts rows (including rows with NULLs). COUNT(column) counts non-NULL VALUES.,,
Feedback,COUNT(*) = counts all rows. COUNT(column) = counts only rows where column IS NOT NULL. Other aggregates (SUM AVG MIN MAX) ignore NULLs.,,

NewQuestion,MC,,,
ID,CSCI5603-027,,,
Title,Cartesian Product,,,
QuestionText,What does the Cartesian Product operation produce in relational algebra?,,,
Points,2,,,
Difficulty,4,,,
Option,100,All possible combinations of tuples from two relations,,Correct! It creates every possible pairing of rows from both tables.
Option,0,Only tuples that have matching values,,That describes a join not a Cartesian product.
Option,0,The intersection of two relations,,That describes the INTERSECT operation.
Option,0,Tuples from the first relation only,,That describes a selection or projection not Cartesian product.
Hint,If table A has 10 rows and table B has 5 rows the Cartesian product has 50 rows.,,
Feedback,Cartesian Product (×) produces all possible pairs of tuples. If R has m tuples and S has n tuples R × S has m × n tuples. Usually combined with selection to create joins.,,

NewQuestion,MC,,,
ID,CSCI5603-028,,,
Title,Database Roles,,,
QuestionText,What is the primary responsibility of a Database Administrator (DBA)?,,,
Points,2,,,
Difficulty,2,,,
Option,100,Managing and maintaining the database system including performance security and backups,,Correct! DBAs handle the technical operational aspects of database systems.
Option,0,Writing application code that uses the database,,This is the role of application developers/programmers.
Option,0,Defining business rules and data requirements,,This is the role of the Data Architect or business analysts.
Option,0,Running queries to generate reports,,This is the role of end users or report developers.
Hint,The DBA is responsible for keeping the database running smoothly securely and efficiently.,,
Feedback,DBA = manages technical operations (performance security backup recovery). Data Architect = plans data strategy. Database Designers = create schemas. Programmers = write applications. End Users = query data.,,

NewQuestion,MC,,,
ID,CSCI5603-029,,,
Title,ACID Properties,,,
QuestionText,In database transactions what does the 'A' in ACID stand for?,,,
Points,2,,,
Difficulty,3,,,
Option,100,Atomicity,,Correct! Atomicity means transactions are all-or-nothing.
Option,0,Availability,,Availability is not part of ACID (it's part of CAP theorem).
Option,0,Authorization,,Authorization relates to security not transaction properties.
Option,0,Aggregation,,Aggregation is a query operation not a transaction property.
Hint,Think about atoms - they can't be divided. Transactions are similar: they happen completely or not at all.,,
Feedback,ACID: Atomicity (all-or-nothing); Consistency (valid state to valid state); Isolation (transactions don't interfere); Durability (committed changes persist). These ensure reliable transaction processing.,,

NewQuestion,MC,,,
ID,CSCI5603-030,,,
Title,Three-Tier Architecture,,,
QuestionText,What are the three tiers in a three-tier database application architecture?,,,
Points,2,,,
Difficulty,3,,,
Option,100,Presentation tier; Application/Logic tier; Data tier,,Correct! Frontend; Backend/API; Database.
Option,0,User tier; Database tier; Network tier,,These are not the standard three tiers.
Option,0,Input tier; Processing tier; Output tier,,These don't describe three-tier architecture.
Option,0,External tier; Conceptual tier; Internal tier,,These describe ANSI-SPARC not three-tier application architecture.
Hint,Think about web applications: what the user sees; the API/business logic; the database.,,
Feedback,Three-tier: Presentation (UI/Frontend); Application (Business logic/API); Data (Database). Benefits: separation of concerns; maintainability; scalability. Different from ANSI-SPARC architecture!,,

NewQuestion,MC,,,
ID,CSCI5603-031,,,
Title,Subquery Types,,,
QuestionText,What type of subquery returns a single value that can be used with comparison operators?,,,
Points,2,,,
Difficulty,4,,,
Option,100,Scalar subquery,,Correct! Scalar subqueries return exactly one value (one row one column).
Option,0,Correlated subquery,,Correlated refers to how it executes (referencing outer query) not what it returns.
Option,0,Table subquery,,Table subqueries return multiple rows and columns.
Option,0,Row subquery,,Row subqueries return one row but multiple columns.
Hint,SCALAR means a single value - think of scalar as 'one number'.,,
Feedback,Scalar subquery = returns one value (1 row 1 column). Row subquery = one row multiple columns. Table subquery = multiple rows and columns. Correlated = references outer query.,,

NewQuestion,MC,,,
ID,CSCI5603-032,,,
Title,Normalization Purpose,,,
QuestionText,What is the primary goal of database normalization?,,,
Points,2,,,
Difficulty,3,,,
Option,100,Eliminate redundancy and prevent update anomalies,,Correct! Normalization organizes data to reduce duplication and inconsistencies.
Option,0,Make queries run faster,,Normalization can sometimes slow queries; performance is not the primary goal.
Option,0,Increase the number of tables,,More tables is a result not the goal of normalization.
Option,0,Make the database larger,,Size is not relevant to normalization goals.
Hint,Think about the problems with storing the same information in multiple places.,,
Feedback,Normalization eliminates redundancy and prevents: insertion anomalies; deletion anomalies; update anomalies. Process: move from lower normal forms (1NF 2NF) to higher forms (3NF BCNF) by removing dependencies.,,

NewQuestion,MC,,,
ID,CSCI5603-033,,,
Title,Entity Integrity,,,
QuestionText,What does entity integrity require in the relational model?,,,
Points,2,,,
Difficulty,3,,,
Option,100,Primary key values cannot be NULL,,Correct! Entity integrity ensures each entity can be uniquely identified.
Option,0,Foreign key values cannot be NULL,,Foreign keys CAN be NULL (optional relationships).
Option,0,All attributes must have values,,Attributes can be NULL unless specified NOT NULL.
Option,0,Every table must have a foreign key,,Tables don't require foreign keys.
Hint,The PRIMARY key must identify each entity - can it do that if it's NULL?,,
Feedback,Entity Integrity = primary keys cannot be NULL (must uniquely identify each tuple). Referential Integrity = foreign keys must match existing primary keys or be NULL. Domain Integrity = values in valid ranges.,,

NewQuestion,MC,,,
ID,CSCI5603-034,,,
Title,DISTINCT Keyword,,,
QuestionText,What does the DISTINCT keyword do in a SELECT statement?,,,
Points,2,,,
Difficulty,2,,,
Option,100,Removes duplicate rows from the result set,,Correct! DISTINCT eliminates duplicate tuples.
Option,0,Sorts the results alphabetically,,ORDER BY sorts; DISTINCT removes duplicates.
Option,0,Filters rows based on a condition,,WHERE filters; DISTINCT removes duplicates.
Option,0,Counts the number of unique values,,COUNT(DISTINCT column) counts unique values but DISTINCT alone just removes duplicates.
Hint,Think about what happens when multiple rows have exactly the same values in all selected columns.,,
Feedback,SELECT DISTINCT removes duplicate rows. Useful when selecting non-key columns. Note: DISTINCT applies to the entire row not individual columns. COUNT(DISTINCT column) counts unique values.,,

NewQuestion,MC,,,
ID,CSCI5603-035,,,
Title,Self Join,,,
QuestionText,What is a self-join in SQL?,,,
Points,2,,,
Difficulty,4,,,
Option,100,Joining a table to itself using table aliases,,Correct! Self-joins compare rows within the same table.
Option,0,A join that automatically matches on common column names,,That describes a natural join not a self-join.
Option,0,A join that returns only matching rows,,That describes an inner join not specifically a self-join.
Option,0,A join that references its own primary key,,All tables reference their primary key; this doesn't define self-join.
Hint,Think about finding employees and their managers when both are in the same Employees table.,,
Feedback,Self-join joins a table to itself using aliases. Example: finding employees and their managers or products and their categories when both are in the same table. Requires table aliases (e1 e2) to distinguish.,,

NewQuestion,MC,,,
ID,CSCI5603-036,,,
Title,Set Difference Operation,,,
QuestionText,What does the EXCEPT (or MINUS) set operation return?,,,
Points,2,,,
Difficulty,3,,,
Option,100,Rows in the first query but not in the second,,Correct! EXCEPT performs set subtraction.
Option,0,Rows that appear in both queries,,That describes INTERSECT not EXCEPT.
Option,0,All rows from both queries,,That describes UNION not EXCEPT.
Option,0,Rows that appear in exactly one query but not both,,That would be a symmetric difference not available in standard SQL.
Hint,Think 'EXCEPTion' - take the first set EXCEPT remove what's in the second.,,
Feedback,EXCEPT (or MINUS) = rows in first query but NOT in second. INTERSECT = rows in BOTH queries. UNION = rows from BOTH queries (combined). All require compatible column types.,,

NewQuestion,MC,,,
ID,CSCI5603-037,,,
Title,Aggregate Function Rules,,,
QuestionText,Which statement about aggregate functions is TRUE?,,,
Points,2,,,
Difficulty,3,,,
Option,0,Aggregate functions can be used in WHERE clauses,,Aggregate functions cannot appear in WHERE (use HAVING instead).
Option,100,Aggregate functions ignore NULL values except COUNT(*),,Correct! SUM AVG MIN MAX ignore NULLs; COUNT(*) includes rows with NULLs.
Option,0,Multiple aggregate functions cannot be used in the same SELECT,,You can use multiple aggregates in one SELECT.
Option,0,Aggregate functions require GROUP BY,,Aggregates can be used without GROUP BY (for entire table).
Hint,Think about calculating AVG of values - should NULL values affect the average?,,
Feedback,Aggregates (SUM AVG MIN MAX) ignore NULL values. COUNT(*) counts all rows; COUNT(column) ignores NULLs. Cannot use aggregates in WHERE; use HAVING instead. Can use multiple aggregates in one query.,,

NewQuestion,MC,,,
ID,CSCI5603-038,,,
Title,Foreign Key Purpose,,,
QuestionText,What is the primary purpose of a foreign key?,,,
Points,2,,,
Difficulty,2,,,
Option,100,Establish and enforce relationships between tables,,Correct! Foreign keys link tables and maintain referential integrity.
Option,0,Uniquely identify each row in a table,,That is the purpose of a primary key not foreign key.
Option,0,Speed up query performance,,That is the purpose of an index not foreign key.
Option,0,Prevent NULL values in a column,,That is the purpose of NOT NULL constraint not foreign key.
Hint,FOREIGN key - it references a key in a FOREIGN (other) table.,,
Feedback,Foreign keys: establish relationships between tables; enforce referential integrity; prevent orphaned records. They reference the primary key of another table (or sometimes the same table for hierarchies).,,

NewQuestion,MC,,,
ID,CSCI5603-039,,,
Title,CHECK Constraint,,,
QuestionText,What does a CHECK constraint do in SQL?,,,
Points,2,,,
Difficulty,3,,,
Option,100,Ensures values meet a specified condition,,Correct! CHECK constraints validate data against rules.
Option,0,Verifies that foreign keys reference existing values,,That is referential integrity not CHECK constraint.
Option,0,Prevents NULL values,,That is the NOT NULL constraint not CHECK.
Option,0,Ensures uniqueness of values,,That is the UNIQUE constraint not CHECK.
Hint,CHECK constraints let you specify custom business rules like 'age must be between 0 and 120'.,,
Feedback,CHECK constraints enforce domain integrity with custom conditions. Examples: age > 0; price >= 0; rating IN ('G' 'PG' 'R'). They validate data during INSERT/UPDATE operations.,,

NewQuestion,MC,,,
ID,CSCI5603-040,,,
Title,ALTER TABLE Purpose,,,
QuestionText,What is the ALTER TABLE command used for?,,,
Points,2,,,
Difficulty,2,,,
